INTERNAL NAME;PT (corrigido);BR (corrigido);EN (corrigido);UK (corrigido);ES (corrigido);CL (corrigido);MX (corrigido);FR (corrigido)
SOCIAL_WORKER_INTERV_PLAN;Planos de intervenção - notas de cancelamento;Planos de intervenção - notas de cancelamento;Intervention plan - cancellation notes;Intervention plan - cancellation notes;Planes de intervención - notas de cancelación;Planes de intervención - notas de cancelación;Planes de intervención - notas de cancelación;Plans d'intervention - notes d'annulation
SOCIAL_WORKER_HOUSEHOLD;Situação social - notas de cancelamento de elemento do agregado familiar;Situação social - notas de cancelamento de elemento do agregado familiar;Social situation - household member cancellation notes;Social situation - household member cancellation notes;Situación social - notas de cancelación del miembro del núcleo familiar;Situación social - notas de cancelación del miembro del núcleo familiar;Situación social - notas de cancelación del miembro del núcleo familiar;Situation sociale - notes d'annulation d'un membre du ménage
SOCIAL_WORKER_HOUSE;Situação social - notas de cancelamento de habitação;Situação social - notas de cancelamento de habitação;Social situation - housing cancellation notes;Social situation - housing cancellation notes;Situación social - notas de cancelación de la vivienda;Situación social - notas de cancelación de la vivienda;Situación social - notas de cancelación de la vivienda;Situation sociale - notes d'annulation de logement
SOCIAL_WORKER_FOLLOW_UP_NOTES;Notas de acompanhamento;Notas de acompanhamento;Follow-up notes;Follow-up notes;Notas de seguimiento;Notas de seguimiento;Notas de seguimiento;Notes de suivi
SOCIAL_WORKER_FOLLOW_UP_CANCEL_NOTES;Notas de acompanhamento - notas de cancelamento;Notas de acompanhamento - notas de cancelamento;Follow-up notes - cancellation notes;Follow-up notes - cancellation notes;Notas de seguimiento - notas de cancelación;Notas de seguimiento - notas de cancelación;Notas de seguimiento - notas de cancelación;Notes de suivi - notes d'annulation
SOCIAL_WORKER_FINANCIAL;Situação social - notas de cancelamento de situação financeira;Situação social - notas de cancelamento de situação financeira;Social situation - financial situation cancellation notes;Social situation - financial situation cancellation notes;Situación social - notas de cancelación de la situación financiera;Situación social - notas de cancelación de la situación financiera;Situación social - notas de cancelación de la situación financiera;Situation sociale - notes d'annulation de situation financière
SOCIAL_WORKER_CLASS;Situação social - notas de cancelamento de dados sociodemográficos;Situação social - notas de cancelamento de dados sociodemográficos;Social situation - socio-demographic data cancellation notes;Social situation - socio-demographic data cancellation notes;Situación social - notas de cancelación de datos sociodemográficos;Situación social - notas de cancelación de datos sociodemográficos;Situación social - notas de cancelación de datos sociodemográficos;Situation sociale - notes d'annulation de données socio-démographiques
SOCIAL_SITUACAO;Situação - notas;Situação - notas;Situation - notes;Situation - notes;Situación - notas;Situación - notas;Situación - notas;Situation - notes
SOCIAL_SIT_FINANCEIRA;Situação financeira do agregado - notas;Situação financeira do agregado - notas;Financial situation - notes;Financial situation - notes;Situación financiera del núcleo familiar - notas;Situación financiera del núcleo familiar - notas;Situación financiera del núcleo familiar - notas;Situation financière du ménage - notes
SOCIAL_REQUEST_CANCEL_NOTES;Pedidos de assistência social - notas de cancelamento;Pedidos de assistência social - notas de cancelamento;Social Services request - cancellation notes;Social Services request - cancellation notes;Pedidos de asistencia social - notas de cancelación;Pedidos de asistencia social - notas de cancelación;Pedidos de asistencia social - notas de cancelación;Demandes d'assistance sociale - notes d'annulation
SOCIAL_REPORT;Relatório de serviço social;Relatório de serviço social;Social Services report;Social Services report;Informe de servicio social;Informe de servicio social;Informe de servicio social;Rapport du service social
SOCIAL_HABITACAO;Habitação - notas;Habitação - notas;Housing - notes;Housing - notes;Vivienda - notas;Vivienda - notas;Vivienda - notas;Logement - notes
SOCIAL_DOCUMENT_NOTES;Notas sobre documentos;Notas sobre documentos;Document notes;Document notes;Notas sobre documentos;Notas sobre documentos;Notas sobre documentos;Notes concernant des documents
SOCIAL_DIAG_SOCIAL;Diagnóstico social - notas;Diagnóstico social - notas;Social diagnosis - notes;Social diagnosis - notes;Diagnóstico social - notas;Diagnóstico social - notas;Diagnóstico social - notas;Diagnostic social - notes
SOCIAL_CLASSE_SOCIAL;Dados sociodemográficos - notas;Dados sociodemográficos - notas;Socio-demographic data - notes;Socio-demographic data - notes;Datos sociodemográficos - notas;Datos sociodemográficos - notas;Datos sociodemográficos - notas;Données socio-démographiques - notes
SOCIAL_CANCEL_INTERV;Plano de intervenção social - notas de cancelamento;Plano de intervenção social - notas de cancelamento;Social intervention plan - cancellation notes;Social intervention plan - cancellation notes;Plan de intervención social - notas de cancelación;Plan de intervención social - notas de cancelación;Plan de intervención social - notas de cancelación;Plan d'intervention sociale - notes d'annulation
SOCIAL_CANCEL_FAMILY;Agregado familiar - notas de cancelamento;Agregado familiar - notas de cancelamento;Household - cancellation notes;Household - cancellation notes;Núcleo familiar - notas de cancelación;Núcleo familiar - notas de cancelación;Núcleo familiar - notas de cancelación;Ménage - notes d'annulation
SOCIAL_ALTA;Alta social - notas;Alta social - notas;Social discharge - notes;Social discharge - notes;Alta del asistente social - notas;Alta del asistente social - notas;Alta del asistente social - notas;Sortie du service social - notes
SET_CHRONIC_NOT_ACTIVE;Notas de alteração de medicação do tipo crónico para medicação do tipo não crónico;Notas de alteração de medicação do tipo crônico para medicação do tipo não crônico;Notes for medication changed from chronic to non-chronic;Notes for medication changed from chronic to non-chronic;Notas de modificación de medicación de tipo crónico para medicación de tipo no crónico;Notas de modificación de medicación de tipo crónico para medicación de tipo no crónico;Notas de modificación de medicación de tipo crónico para medicación de tipo no crónico;Notes de remplacement de médicaments de type chronique par des médicaments de type non chronique
SERVICE_TRANSFER;Notas de transferência de serviço;Notas da transferência de serviço;Service transfer notes;Service transfer notes;Notas de transferencia de servicio;Notas de transferencia de servicio;Notas de transferencia de servicio;Notes de transfert de service
SCHOOL_PERFORMANCE_NOTES;Desempenho escolar - notas adicionais;Desempenho escolar - notas adicionais;School performance - additional notes;School performance - additional notes;Rendimiento escolar - notas adicionales;Rendimiento escolar - notas adicionales;Rendimiento escolar - notas adicionales;Performance scolaire - notes additionnelles
SCHEDULE_NOTES;Agendamento - notas;Agendamento - notas;Scheduling - notes;Scheduling - notes;Citación - notas;Agendamiento - notas;Citación - notas;Planification - notes
SCHEDULE_CANCEL_NOTES;Agendamento - notas de cancelamento;Agendamento - notas de cancelamento;Scheduling - cancellation notes;Scheduling - cancellation notes;Citación - notas de cancelación;Agendamiento - notas de cancelación;Citación - notas de cancelación;Planification - notes d'annulation
RISK_FACTOR_NOTES;Fatores de risco - notas adicionais;Fatores de risco - notas adicionais;Risk factors - additional notes;Risk factors - additional notes;Factores de riesgo - notas adicionales;Factores de riesgo - notas adicionales;Factores de riesgo - notas adicionales;Facteurs de risque - notes additionnelles
REVISAO_SISTEMAS;Revisão de sistemas - notas;Revisão de sistemas - notas;Review of systems - notes;Review of systems - notes;Revisión de sistemas - notas;Revisión de sistemas - notas;Revisión de sistemas - notas;Anamnèse par système - notes
REVISAO_DEC_ANTECIPADAS;Revisão de decisões antecipadas - notas;Revisão de decisões antecipadas - notas;Advance directives review - notes;Advance directives review - notes;Revisión de decisiones anticipadas - notas;Revisión de decisiones anticipadas - notas;Revisión de decisiones anticipadas - notas;Révision de directives anticipées - notes
RETURN_NOTES_NUTRI;Retoma de uma dieta - notas;Retoma de uma dieta - notas;Resume diet - notes;Resume diet - notes;Reanudación de una dieta - notas;Reanudación de una dieta - notas;Reanudación de una dieta - notas;Reprise d'un régime alimentaire - notes
RESP_PED_PARECER;Pedido de parecer - resposta;Pedido de parecer - resposta;Consult request - reply;Consultation request - reply;Solicitud de interconsulta - respuesta;Solicitud de interconsulta - respuesta;Solicitud de interconsulta - respuesta;Demande d'avis médical - réponse
RESP_PARECER_NUTRI;Notas de pareceres de nutrição - resposta;Notas de pareceres de nutrição - resposta;Nutrition consult notes - reply;Nutrition consultation notes - reply;Notas de interconsultas de nutrición - respuesta;Notas de interconsultas de nutrición - respuesta;Notas de interconsultas de nutrición - respuesta;Notes d'avis nutritionnel - réponse
REPORT_PURPOSE_DISCLOSURE;Imprimir para divulgação - finalidade da divulgação;Imprimir para divulgação - finalidade da divulgação;Print for disclosure - disclosure purposes;Print for disclosure - disclosure purposes;Imprimir para divulgación - finalidad de la divulgación;Imprimir para divulgación - finalidad de la divulgación;Imprimir para divulgación - finalidad de la divulgación;Imprimer pour divulgation - fins de la divulgation
REHAB_PRESC_CANCEL_NOTES;Reabilitação - notas de cancelamento de requisição;Reabilitação - notas de cancelamento de requisição;Rehabilitation - order cancellation notes;Rehabilitation - order cancellation notes;Rehabilitación - notas de cancelación de la solicitud;Rehabilitación - notas de cancelación de la solicitud;Rehabilitación - notas de cancelación de la solicitud;Rééducation - notes d'annulation de la demande
REF_REQUEST_CANCEL_REFERRAL;Notas para pedido de cancelamento;Notas para pedido de cancelamento;Cancellation request notes;Cancellation request notes;Notas para solicitud de cancelación;Notas para solicitud de cancelación;Notas para solicitud de cancelación;Notes de demande d'annulation
REF_REG_CREATION;Notas de criação de pedido;Notas de criação de pedido;Request creation notes;Request creation notes;Notas de creación de la solicitud;Notas de creación de la solicitud;Notas de creación de la solicitud;Notes de création de demande
REF_REG_CANCEL;Notas de cancelamento de pedido;Notas de cancelamento de pedido;Request cancellation notes;Request cancellation notes;Notas de cancelación de la solicitud;Notas de cancelación de la solicitud;Notas de cancelación de la solicitud;Notes d'annulation de la demande
REF_MEDICATION;Medicação;Medicação;Medication;Medication;Medicación;Medicación;Medicación;Médicaments
REF_DENY_REQ_CANCEL_REFERRAL;Notas de rejeição do pedido de cancelamento;Notas de rejeição do pedido de cancelamento;Cancellation request decline notes;Cancellation request decline notes;Notas de rechazo de la solicitud de cancelación;Notas de rechazo de la solicitud de cancelación;Notas de rechazo de la solicitud de cancelación;Notes de refus de la demande d'annulation
REF_DECLINE_TO_REG;Notas de devolução ao administrativo;Notas de devolução ao administrativo;Return to registrar notes;Return to registrar notes;Notas de devolución al administrativo;Notas de devolución al administrativo;Notas de devolución al administrativo;Notes de renvoi au administratif
REF_CLINDIR_REFUSE;Rejeição do pedido - notas de justificação;Rejeição do pedido - notas de justificativa;Request decline - reason;Request decline - reason;Rechazo de la solicitud - notas de justificación;Rechazo de la solicitud - notas de justificación;Rechazo de la solicitud - notas de justificación;Refus de la demande - notes de justification
REF_CLINDIR_DECLINE;Aprovação do pedido - notas de devolução;Aprovação do pedido - notas de devolução;Request approval - return notes;Request approval - return notes;Aprobación de la solicitud - notas de devolución;Aprobación de la solicitud - notas de devolución;Aprobación de la solicitud - notas de devolución;Approbation de la demande - notes de renvoi
REF_CLINDIR_APPROVE;Aprovação do pedido - notas de justificação;Aprovação do pedido - notas de justificativa;Request approval - reason;Request approval - reason;Rechazo de la solicitud - notas de justificación;Rechazo de la solicitud - notas de justificación;Rechazo de la solicitud - notas de justificación;Approbation de la demande - notes de justification
REF_ANSW_REQUEST_CANCEL_REFERRAL;Notas de pedido de cancelamento;Notas de pedido de cancelamento;Cancellation request notes;Cancellation request notes;Notas de solicitud de cancelación;Notas de solicitud de cancelación;Notas de solicitud de cancelación;Notes de demande d'annulation
REF_ACCEPT_REQ_CANCEL_REFERRAL;Notas de aceitação do pedido de cancelamento;Notas de aceitação do pedido de cancelamento;Cancellation request acceptance notes;Cancellation request acceptance notes;Notas de aceptación de la solicitud de cancelación;Notas de aceptación de la solicitud de cancelación;Notas de aceptación de la solicitud de cancelación;Notes d'acceptation de la demande d'annulation
RECEITA;Receita;Receita;Prescription;Prescription;Receta;Receta;Receta;Ordonnance
REC_MEDICO_ALTA;Recomendações a outro médico;Recomendações a outro médico;Notes for colleague;Notes for colleague;Recomendaciones a otro médico;Recomendaciones a otro médico;Recomendaciones a otro médico;Renseignements pour un confrère
QUEIXA_TRIAGEM;Queixa na triagem;Queixa na triagem;Chief complaint in triage;Chief complaint in triage;Queja en triaje;Queja en triaje;Queja en triaje;Plainte au triage
PROTOCOL_CANCEL_NOTES;Protocolos - notas de cancelamento;Protocolos - notas de cancelamento;Protocols - cancellation notes;Protocols - cancellation notes;Protocolos - notas de cancelación;Protocolos - notas de cancelación;Protocolos - notas de cancelación;Protocoles - notes d'annulation
PROGRESS_NOTES_PHYSICAL_EXAM;Notas de evolução do paciente – exame físico;Notas de evolução do paciente – exame físico;Progress notes - physical exam;Progress notes - physical exam;Notas de evolución del paciente - examen físico;Notas de evolución del paciente - examen físico;Notas de evolución del paciente - examen físico;Notes d'évolution du patient - examen physique
PROGRESS_NOTES_HISTORY;Notas de evolução do paciente – histórico;Notas de evolução do paciente – histórico;Progress notes - history;Progress notes - history;Notas de evolución del paciente - histórico;Notas de evolución del paciente - histórico;Notas de evolución del paciente - histórico;Notes d'évolution du patient - historique
PROGRESS_NOTES_BY_TECHNICIAN;Notas de evolução do paciente – notas de seguimento do técnico;Notas de evolução do paciente – notas de seguimento do técnico;Progress notes - technician notes;Progress notes - technician notes;Notas de evolución del paciente - notas de seguimiento del técnico;Notas de evolución del paciente - notas de seguimiento del técnico;Notas de evolución del paciente - notas de seguimiento del técnico;Notes d'évolution du patient - notes de suivi du technicien
PROGRESS_NOTES_BY_PHYSICIAN;Notas de evolução do paciente – notas do médico;Notas de evolução do paciente – notas do médico;Progress notes - physician notes;Progress notes - physician notes;Notas de evolución del paciente - notas del médico;Notas de evolución del paciente - notas del médico;Notas de evolución del paciente - notas del médico;Notes d'évolution du patient - notes du médecin
PROBLEMS_UNAWARENESS_NOTES;Não são conhecidos problemas - notas;Não são conhecidos problemas - notas;No known problems - notes;No known problems - notes;Sin problemas conocidos - notas;Sin problemas conocidos - notas;Sin problemas conocidos - notas;Pas de pathologies/risques associés connus - notes
PROBLEMS_EDIT;Problemas - notas;Problemas - notas;Problems - notes;Problems - notes;Problemas - notas;Problemas - notas;Problemas - notas;Pathologies/risques associés - notes
PROBLEMS_CANCEL;Problemas - notas de cancelamento;Problemas - notas de cancelamento;Problems - cancellation notes;Problems - cancellation notes;Problemas - notas de cancelación;Problemas - notas de cancelación;Problemas - notas de cancelación;Pathologies/risques associés - notes d'annulation
PREGNANCY_NOTES;Processo de gravidez - notas;Processo de gravidez - notas;Pregnancy record - notes;Pregnancy record - notes;Proceso de embarazo - notas;Proceso de embarazo - notas;Proceso de embarazo - notas;Dossier de grossesse - notes
PREGNANCY_INICIAL_DATA_NOTES;Dados iniciais da gravidez - notas adicionais;Dados iniciais da gravidez - notas adicionais;Initial pregnancy data - additional notes;Initial pregnancy data - additional notes;Datos iniciales del embarazo - notas adicionales;Datos iniciales del embarazo - notas adicionales;Datos iniciales del embarazo - notas adicionales;Données initiales de la grossesse - notes additionnelles
POSOLOGIA_FREQUENCIA;Posologia - frequência;Posologia - frequência;Directions - frequency;Directions - frequency;Posología - frecuencia;Posología - frecuencia;Posología - frecuencia;Posologie - fréquence
POSOLOGIA_DURACAO;Posologia - duração;Posologia - duração;Directions - duration;Directions - duration;Posología - duración;Posología - duración;Posología - duración;Posologie - durée
POS_PHARMACIST_ASSESSMENT;Avaliação da verificação pré-operatória;Avaliação da verificação pré-operatória;POS assessment;POS assessment;Evaluación de la verificación preoperatoria;Evaluación de la verificación preoperatoria;Evaluación de la verificación preoperatoria;Évaluation de la vérification pré-interventionnelle
PN_NOTES_CANCEL;Notas de evolução do paciente – notas de cancelamento;Notas de evolução do paciente – notas de cancelamento;Progress notes - cancellation notes;Progress notes - cancellation notes;Notas de evolución del paciente - notas de cancelación;Notas de evolución del paciente - notas de cancelación;Notas de evolución del paciente - notas de cancelación;Notes d'évolution du patient - notes d'annulation
PN_FT_LAB_DATA;Antecedentes e exame físico e notas de evolução de paciente – notas de dados de análises;Antecedentes e exame físico e notas de evolução de paciente – notas de dados de análises;History & Physical and Progress Notes - lab test data notes;History & Physical and Progress Notes - lab test data notes;Antecedentes y examen físico y notas de evolución de paciente – notas de datos de análisis;Antecedentes y examen físico y notas de evolución de paciente – notas de datos de análisis;Antecedentes y examen físico y notas de evolución de paciente – notas de datos de análisis;Antécédents et examen physique et notes d'évolution du patient - notes de données d'analyses
PN_FT_IMAGING_DATA;Antecedentes e exame físico e notas de evolução de paciente – notas de dados de imagem;Antecedentes e exame físico e notas de evolução de paciente – notas de dados de imagem;History & Physical and Progress Notes - imaging data notes;History & Physical and Progress Notes - imaging data notes;Antecedentes y examen físico y notas de evolución de paciente – notas de datos de imagen;Antecedentes y examen físico y notas de evolución de paciente – notas de datos de imagen;Antecedentes y examen físico y notas de evolución de paciente – notas de datos de imagen;Antécédents et examen physique et notes d'évolution du patient - notes de données d'imagerie
PN_FT_CHIEF_COMPLAINT;Antecedentes e exame físico e notas de evolução de paciente – notas de queixa;Antecedentes e exame físico e notas de evolução de paciente – notas de queixa;History & Physical and Progress Notes - chief complaint notes;History & Physical and Progress Notes - chief complaint notes;Antecedentes y examen físico y notas de evolución de paciente – notas de queja;Antecedentes y examen físico y notas de evolución de paciente – notas de queja;Antecedentes y examen físico y notas de evolución de paciente – notas de queja;Antécédents et examen physique et notes d'évolution du patient - notes du motif de consultation
PN_ADDENDUM_CREATE;Notas de evolução do paciente – notas de criação de adenda;Notas de evolução do paciente – notas de criação do adendo;Progress notes - addenda creation notes;Progress notes - addenda creation notes;Notas de evolución de paciente – notas de creación de anexo;Notas de evolución de paciente – notas de creación de anexo;Notas de evolución de paciente – notas de creación de anexo;Notes d'évolution du patient - notes de création d'addenda
PN_ADDENDUM_CANCEL;Notas de evolução do paciente – notas de cancelamento de adenda;Notas de evolução do paciente – notas de cancelamento do adendo;Progress notes - addenda cancellation notes;Progress notes - addenda cancellation notes;Notas de evolución de paciente – notas de cancelación de anexo;Notas de evolución de paciente – notas de cancelación de anexo;Notas de evolución de paciente – notas de cancelación de anexo;Notes d'évolution du patient - notes d'annulation de l'addenda
PHYSICIAN_NOTES_FOR_REJECTION;Medicação - notas de rejeição do médico;Medicação - notas de rejeição do médico;Medication - physician decline notes;Medication - doctor decline notes;Medicación - notas de rechazo del médico;Medicación - notas de rechazo del médico;Medicación - notas de rechazo del médico;Médicaments - notes de refus du médecin
PENDING_ISSUES_TITLE;Assuntos pendentes - título do assunto;Assuntos pendentes - título do assunto;Pending issues - issue title;Pending issues - issue title;Asuntos pendientes - título del asunto;Asuntos pendientes - título del asunto;Asuntos pendientes - título del asunto;Sujets en attente - titre du sujet
PENDING_ISSUES_MESSAGE;Assuntos pendentes - mensagem do assunto;Assuntos pendentes - mensagem do assunto;Pending issues - issue message;Pending issues - issue message;Asuntos pendientes - mensaje del asunto;Asuntos pendientes - mensaje del asunto;Asuntos pendientes - mensaje del asunto;Sujets en attente - message du sujet
PEDIDO_PARECER;Pedido de parecer;Pedido de parecer;Consult request;Consultation request;Solicitud de interconsulta;Solicitud de interconsulta;Solicitud de interconsulta;Demande d'avis médical
PEDIATRIC_NUTRITION_ASSESSMENT;Avaliação da nutrição pediátrica;Avaliação da nutrição pediátrica;Pediatric nutrition assessment;Paediatric nutrition assessment;Evaluación de la nutrición pediátrica;Evaluación de la nutrición pediátrica;Evaluación de la nutrición pediátrica;Évaluation de la nutrition pédiatrique
PEDIATRIC_ASSESSMENT_NOTES;Avaliação pediátrica - notas adicionais;Avaliação pediátrica - notas adicionais;Pediatric assessment - additional notes;Paediatric assessment - additional notes;Evaluación pediátrica - notas adicionales;Evaluación pediátrica - notas adicionales;Evaluación pediátrica - notas adicionales;Évaluation pédiatrique - notes additionnelles
PATIENT_TRIALS_FOLLOW_UP_NOTES;Participação de paciente em ensaio clínico - notas de acompanhamento;Participação do paciente em ensaio clínico - notas de acompanhamento;Patient's clinical trial participation - follow-up notes;Patient's clinical trial participation - follow-up notes;Participación del paciente en ensayo clínico - notas de seguimiento;Participación del paciente en ensayo clínico - notas de seguimiento;Participación del paciente en ensayo clínico - notas de seguimiento;Participation du patient à l'essai clinique - notes de suivi
PATIENT_TRIALS_FOLLOW_UP_CANCEL_NOTES;Participação de paciente em ensaio clínico - notas de cancelamento de acompanhamento;Participação do paciente em ensaio clínico - notas de cancelamento do acompanhamento;Patient's clinical trial participation - follow-up cancellation notes;Patient's clinical trial participation - follow-up cancellation notes;Participación del paciente en ensayo clínico - notas de cancelación del seguimiento;Participación del paciente en ensayo clínico - notas de cancelación del seguimiento;Participación del paciente en ensayo clínico - notas de cancelación del seguimiento;Participation du patient à l'essai clinique - notes d'annulation de suivi
PATIENT_TRIALS_CANCEL_NOTES;Participação de paciente em ensaio clínico - notas de cancelamento;Participação do paciente em ensaio clínico - notas de cancelamento;Patient's clinical trial participation - cancellation notes;Patient's clinical trial participation - cancellation notes;Participación del paciente en ensayo clínico - notas de cancelación;Participación del paciente en ensayo clínico - notas de cancelación;Participación del paciente en ensayo clínico - notas de cancelación;Participation du patient à l'essai clinique - notes d'annulation
PATIENT_TRIAL_HOLD_NOTES;Participação de paciente em ensaio clínico - notas de suspensão;Participação do paciente em ensaio clínico - notas de suspensão;Patient's clinical trial participation - on hold notes;Patient's clinical trial participation - on hold notes;Participación del paciente en ensayo clínico - notas de suspensión;Participación del paciente en ensayo clínico - notas de suspensión;Participación del paciente en ensayo clínico - notas de suspensión;Participation du patient à l'essai clinique - notes de suspension
PATIENT_TRIAL_DISCONTINUE_NOTES;Participação de paciente em ensaio clínico - notas de descontinuação;Participação do paciente em ensaio clínico - notas de descontinuação;Patient's clinical trial participation - discontinuation notes;Patient's clinical trial participation - discontinuation notes;Participación del paciente en ensayo clínico - notas de discontinuación;Participación del paciente en ensayo clínico - notas de discontinuación;Participación del paciente en ensayo clínico - notas de discontinuación;Participation du patient à l'essai clinique - notes de discontinuation
PATIENT_EDUCATION_CANCEL_NOTES;Educação para a saúde - notas de cancelamento de requisição;Educação para a saúde - notas de cancelamento de requisição;Patient education - order cancellation notes;Patient education - order cancellation notes;Educación para la salud - notas de cancelación de solicitud;Educación para la salud - notas de cancelación de solicitud;Educación para la salud - notas de cancelación de solicitud;Éducation - patient - notes d'annulation de la demande
PATIENT_BELONGINGS_NOTES;Espólio do paciente - notas adicionais;Pertences do paciente - notas adicionais;Patient belongings - additional notes;Patient belongings - additional notes;Pertenencias del paciente - notas adicionales;Pertenencias del paciente - notas adicionales;Pertenencias del paciente - notas adicionales;Effets personnels - notes additionnelles
PAT_EDUCATION_TOPIC;Educação para a saúde - tópicos;Educação para a saúde - tópicos;Patient education - topics;Patient education - topics;Educación para la salud - temas;Educación para la salud - temas;Educación para la salud - temas;Éducation - patient - sujets
PAT_EDUCATION_REQ_NOTES;Educação para a saúde - notas de requisição;Educação para a saúde - notas de requisição;Patient education - order notes;Patient education - order notes;Educación para la salud - notas de solicitud;Educación para la salud - notas de solicitud;Educación para la salud - notas de solicitud;Éducation - patient - notes de la demande
PAT_EDUCATION_REQ_DESCRIPTION;Educação para a saúde - descrição;Educação para a saúde - descrição;Patient education - description;Patient education - description;Educación para la salud - descripción;Educación para la salud - descripción;Educación para la salud - descripción;Éducation - patient - description
PAST_MEDICAL_HISTORY;Antecedentes médicos;Antecedentes médicos;Medical history;Medical history;Antecedentes médicos;Antecedentes médicos;Antecedentes médicos;Antécédents médicaux
